Kod,Namn,Regeringens förslag,Avvikelse från regeringen
1:5,Miljöforskning,96825,0
1:6,Kemikalieinspektionen,298094,0
1:7,Avgifter till Internationella organisationer,282131,0
1:8,Klimatbonus,3510000,−3510000
1:9,Sveriges meteorologiska och hydrologiska institut,298143,0
1:10,Klimatanpassning,140000,0
1:11,Åtgärder för havs- och vattenmiljö,1579565,50000
1:12,Insatser för internationella klimatinvesteringar,154100,50000
1:13,Internationellt miljösamarbete,47400,0
1:14,Skydd av värdefull natur,3725500,−2005000
1:15,Havs- och vattenmyndigheten,307151,−60000
1:16,Klimatinvesteringar,2755000,−2755000
1:17,Klimatpremier,1600500,−1331000
1:18,Stöd för gröna och trygga samhällen,200000,−200000
1:19,Industriklivet,909000,0
1:20,Åtgärder för ras- och skredsäkring längs Göta älv,215000,0
1:21,Driftstöd för bio-CCS,10000,250000
1:22,Kompetenslyft för klimatomställningen,100000,−100000
2:1,"Forskningsrådet för miljö, areella näringar och samhällsbyggande",128163,50000
2:2,"Forskningsrådet för miljö, areella näringar och samhällsbyggande: Forskning",1104908,150000
99:1,Laddinfrastruktur elfordon,0,350000
99:2,Förädlingsprojekt Alm och Ask,0,20000
99:3,Centrum för genteknik i naturens tjänst,0,10000
1:1,Statens energimyndighet,419387,−20000
1:2,Insatser för energieffektivisering,118000,0
1:3,Insatser för förnybar elproduktion,25000,−25000
1:4,Energiforskning,1432723,50000
1:5,Infrastruktur för elektrifierade transporter,600000,0
1:6,Energimarknadsinspektionen,184294,0
1:7,Energiteknik,1077600,−578000
1:8,Elberedskap,361000,0
1:9,Avgifter till internationella organisationer,25328,1000
1:10,Energi- och klimatomställning på lokal och regional nivå m.m,140000,−140000
1:11,Elsäkerhetsverket,71592,0
99:1,Forskningsreaktor,0,150000
1:1,Utveckling av statens transportinfrastruktur,31929785,500000
1:2,Vidmakthållande av statens transportinfrastruktur,30402263,500000
1:3,Trafikverket,1426106,0
1:4,Ersättning för sjöräddning och fritidsbåtsändamål,369108,0
1:5,Ersättning för viss kanal- och slussinfrastruktur,146184,0
1:6,Ersättning avseende icke statliga flygplatser,128813,250000
1:7,Trafikavtal,1038000,0
1:8,Viss internationell verksamhet,30557,0
1:9,Statens väg- och transportforskningsinstitut,82037,0
1:10,Från EU-budgeten finansierade stöd till Transeuropeiska nätverk,690000,0
1:11,Trängselskatt i Stockholm,1943400,0
1:12,Transportstyrelsen,2367233,0
1:13,Trafikanalys,69709,0
1:14,Trängselskatt i Göteborg,1025200,0
1:15,Sjöfartsstöd,1550000,500000
1:16,Internationell tågtrafik,45000,−45000
1:17,Infrastruktur för flygtrafiktjänst,299000,0
1:18,Bidrag för upprätthållande av kollektivtrafik,1000000,0
1:19,Lån till körkort,151466,0
2:1,Post- och telestyrelsen,87679,0
2:2,Ersättning för särskilda tjänster för personer med funktionsnedsättning,136278,0
2:3,Grundläggande betaltjänster,28037,0
2:4,Informationsteknik och telekommunikation,104844,0
2:5,Driftsäker och tillgänglig elektronisk kommunikation,1561014,50000
2:6,Myndigheten för digital förvaltning,156845,0
2:7,Digital förvaltning,195994,0
99:1,Näringslivspott för järnvägsanslutningar till industrier,0,50000
99:2,Näringslivspott till stöd för väganslutningar till industrier,0,250000
99:3,Bidrag till Underhåll av enskilda vägar,0,50000
99:4,Inköp av två brandflygplan,0,110000
1:1,Skogsstyrelsen,622925,0
1:2,Insatser för skogsbruket,1066073,50000
1:3,Statens veterinärmedicinska anstalt,165256,0
1:4,Bidrag till veterinär fältverksamhet,133940,0
1:5,Djurhälsovård och djurskyddsfrämjande åtgärder,9933,22000
1:6,Bekämpning av smittsamma djursjukdomar,183349,0
1:7,Ersättningar för viltskador m.m.,52778,0
1:8,Statens jordbruksverk,615698,48000
1:9,Bekämpning av växtskadegörare,15000,0
1:10,Gårdsstöd m.m.,6982048,0
1:11,Intervention för jordbruksprodukter m.m.,167000,0
1:12,Stödåtgärder för fiske och vattenbruk,36200,0
1:13,Från EU-budgeten finansierade stödåtgärder för fiske och vattenbruk,174200,0
1:14,Livsmedelsverket,344398,0
1:15,Konkurrenskraftig livsmedelssektor,204160,0
1:16,Bidrag till vissa internationella organisationer m.m.,46913,0
1:17,Åtgärder för landsbygdens miljö och struktur,3783297,0
1:18,Från EU-budgeten finansierade åtgärder för landsbygdens miljö och struktur,4088310,0
1:19,Miljöförbättrande åtgärder i jordbruket,42330,0
1:20,Stöd till jordbrukets rationalisering m.m.,24116,0
